Sexo;Idade;Raça;Escolaridade;Rendimento mensal;Horas trabalhadas por semana;Região do domicílio;Número de pessoas no domicílio
Homem;21;Branca;Superior incompleto ou equivalente;500;20;Urbana;3
Mulher;42;Branca;Médio completo ou equivalente;100;5;Urbana;2
Homem;41;Branca;Médio completo ou equivalente;2200;46;Urbana;3
Mulher;56;Branca;Superior incompleto ou equivalente;900;40;Urbana;1
Homem;54;Branca;Fundamental completo ou equivalente;2500;40;Urbana;3
Homem;23;Branca;Superior completo;2000;44;Urbana;3
Mulher;31;Parda;Superior completo;3000;40;Urbana;3
Homem;15;Parda;Fundamental incompleto ou equivalente;100;4;Rural;4
Mulher;35;Branca;Superior incompleto ou equivalente;1045;40;Urbana;3
Homem;28;Branca;Médio completo ou equivalente;2000;42;Urbana;3
Homem;55;Parda;Médio completo ou equivalente;1045;40;Rural;4
Homem;37;Parda;Superior completo;3800;50;Urbana;3
Mulher;36;Branca;Médio completo ou equivalente;1400;40;Urbana;4
Homem;37;Preta;Fundamental incompleto ou equivalente;1545;46;Urbana;3
Homem;60;Branca;Fundamental completo ou equivalente;1045;40;Rural;1
Mulher;33;Parda;Superior completo;2500;40;Urbana;1
Homem;43;Preta;Fundamental completo ou equivalente;1000;30;Urbana;4
Mulher;44;Parda;Fundamental completo ou equivalente;400;12;Urbana;1
Mulher;38;Branca;Superior completo;2000;40;Urbana;2
Homem;50;Parda;Médio completo ou equivalente;3000;40;Urbana;3
Mulher;36;Parda;Fundamental incompleto ou equivalente;400;8;Urbana;3
Mulher;25;Parda;Médio incompleto ou equivalente;57;12;Rural;3
Mulher;53;Branca;Médio incompleto ou equivalente;1200;44;Urbana;4
Homem;45;Parda;Fundamental completo ou equivalente;5000;40;Urbana;4
Homem;56;Branca;Superior completo;5500;40;Urbana;3
Mulher;38;Parda;Médio completo ou equivalente;1045;40;Urbana;3
Homem;53;Branca;Médio incompleto ou equivalente;1500;40;Urbana;5
Mulher;37;Parda;Superior completo;2900;40;Urbana;2
Mulher;31;Branca;Médio completo ou equivalente;300;30;Rural;4
Mulher;31;Branca;Superior completo;20000;40;Urbana;1
Homem;19;Parda;Médio completo ou equivalente;800;45;Urbana;8
Mulher;48;Preta;Médio completo ou equivalente;1045;44;Urbana;3
Mulher;36;Branca;Superior completo;1800;44;Rural;4
Homem;29;Branca;Superior completo;3150;44;Urbana;2
Mulher;18;Branca;Médio completo ou equivalente;500;20;Urbana;3
Mulher;68;Branca;Médio completo ou equivalente;550;20;Urbana;2
Homem;23;Parda;Fundamental completo ou equivalente;1100;44;Urbana;4
Mulher;39;Parda;Superior completo;6000;30;Urbana;4
Mulher;60;Preta;Fundamental incompleto ou equivalente;700;54;Urbana;2
Homem;33;Branca;Médio completo ou equivalente;6000;50;Rural;3
Homem;49;Branca;Fundamental completo ou equivalente;1500;44;Urbana;1
Homem;54;Branca;Médio completo ou equivalente;5000;40;Urbana;5
Homem;30;Parda;Médio completo ou equivalente;350;30;Rural;5
Homem;42;Branca;Superior completo;2000;20;Urbana;2
Homem;56;IndÃ­gena;Fundamental incompleto ou equivalente;1045;30;Rural;3
Mulher;34;Branca;Médio completo ou equivalente;1300;40;Urbana;4
Homem;43;Preta;Médio completo ou equivalente;2500;45;Urbana;2
Mulher;22;Parda;Médio completo ou equivalente;1600;44;Urbana;2
Homem;28;Parda;Médio incompleto ou equivalente;200;8;Urbana;6
Homem;44;Branca;Fundamental incompleto ou equivalente;1500;50;Rural;4
